"","Year","Month","tmax","tmin","af","rain","sun","date","month","station"
"71",1962,"11",9.5,2.3,8,99.8,NA,1962-11-15,"Nov","hurn"
"72",1962,"12",6.1,-1.1,22,54.8,NA,1962-12-15,"Dec","hurn"
"73",1963,"1",0.4,-6.1,30,11.2,NA,1963-01-15,"Jan","hurn"
"74",1963,"2",2.6,-2.7,24,41.2,NA,1963-02-15,"Feb","hurn"
"75",1963,"3",9.3,2.1,8,105.1,NA,1963-03-15,"Mar","hurn"
"76",1963,"4",12.5,5.2,3,87.3,NA,1963-04-15,"Apr","hurn"
"77",1963,"5",15.2,5.7,0,32.5,NA,1963-05-15,"May","hurn"
"78",1963,"6",19,10.3,0,105.4,NA,1963-06-15,"Jun","hurn"
"79",1963,"7",19.6,10.5,0,41.2,NA,1963-07-15,"Jul","hurn"
"80",1963,"8",19.3,10.9,0,131.5,NA,1963-08-15,"Aug","hurn"
"81",1963,"9",17.8,9.2,0,90.3,NA,1963-09-15,"Sep","hurn"
"82",1963,"10",14.8,7.8,0,48.6,NA,1963-10-15,"Oct","hurn"
"83",1963,"11",12.4,6,5,191.7,NA,1963-11-15,"Nov","hurn"
"84",1963,"12",5.8,-1.1,18,36.1,NA,1963-12-15,"Dec","hurn"
"85",1964,"1",6.4,1.2,8,11.2,NA,1964-01-15,"Jan","hurn"
"86",1964,"2",7.9,1.9,6,28,NA,1964-02-15,"Feb","hurn"
"87",1964,"3",8.1,2.5,7,99.5,NA,1964-03-15,"Mar","hurn"
"88",1964,"4",11.9,5.1,3,58.5,NA,1964-04-15,"Apr","hurn"
"89",1964,"5",17.1,8.8,0,109.9,NA,1964-05-15,"May","hurn"
"90",1964,"6",18,10.2,0,68.5,NA,1964-06-15,"Jun","hurn"
"91",1964,"7",21.6,11.6,0,13.9,NA,1964-07-15,"Jul","hurn"
"92",1964,"8",21.2,10.6,0,26,NA,1964-08-15,"Aug","hurn"
"93",1964,"9",20.2,9,0,22.9,NA,1964-09-15,"Sep","hurn"
"94",1964,"10",13.8,4.1,4,59.3,NA,1964-10-15,"Oct","hurn"
"95",1964,"11",11.6,4.4,5,49.4,NA,1964-11-15,"Nov","hurn"
"96",1964,"12",7.7,0,18,86.9,NA,1964-12-15,"Dec","hurn"
"97",1965,"1",7.3,0.7,14,97.5,NA,1965-01-15,"Jan","hurn"
"98",1965,"2",6.5,-0.8,17,7.3,NA,1965-02-15,"Feb","hurn"
"99",1965,"3",9.9,1.5,10,80.3,NA,1965-03-15,"Mar","hurn"
"100",1965,"4",13,3.5,6,33.9,NA,1965-04-15,"Apr","hurn"
"101",1965,"5",15.6,7.3,1,40.4,NA,1965-05-15,"May","hurn"
"102",1965,"6",18.3,9.4,0,61.3,NA,1965-06-15,"Jun","hurn"
"103",1965,"7",18.7,11.1,0,103.3,NA,1965-07-15,"Jul","hurn"
"104",1965,"8",19.7,11.1,0,63.8,NA,1965-08-15,"Aug","hurn"
"105",1965,"9",16.5,8.1,0,99.8,NA,1965-09-15,"Sep","hurn"
"106",1965,"10",16.2,6.7,0,17.9,NA,1965-10-15,"Oct","hurn"
"107",1965,"11",9.6,2.2,12,123.3,NA,1965-11-15,"Nov","hurn"
"108",1965,"12",9.5,1.9,9,118.5,NA,1965-12-15,"Dec","hurn"
"109",1966,"1",6.1,1.5,14,79.3,NA,1966-01-15,"Jan","hurn"
"110",1966,"2",9.4,5.2,1,140.6,NA,1966-02-15,"Feb","hurn"
"111",1966,"3",10.9,2.3,6,18.1,NA,1966-03-15,"Mar","hurn"
"112",1966,"4",12.2,5.3,0,101.7,NA,1966-04-15,"Apr","hurn"
"113",1966,"5",16.1,6.3,0,44.9,NA,1966-05-15,"May","hurn"
"114",1966,"6",20.1,10.7,0,47.5,NA,1966-06-15,"Jun","hurn"
"115",1966,"7",20.3,10.8,0,69.6,NA,1966-07-15,"Jul","hurn"
"116",1966,"8",19.9,10.6,0,106.8,NA,1966-08-15,"Aug","hurn"
"117",1966,"9",19.2,9.3,0,41.7,NA,1966-09-15,"Sep","hurn"
"118",1966,"10",15,6.8,2,216.1,NA,1966-10-15,"Oct","hurn"
"119",1966,"11",9.4,1.9,8,58,NA,1966-11-15,"Nov","hurn"
"120",1966,"12",10.2,2.7,8,69.2,NA,1966-12-15,"Dec","hurn"
"121",1967,"1",7.6,1.4,12,103.8,NA,1967-01-15,"Jan","hurn"
"122",1967,"2",9.5,2,14,97.1,NA,1967-02-15,"Feb","hurn"
"123",1967,"3",11.3,3.9,2,59.3,NA,1967-03-15,"Mar","hurn"
"124",1967,"4",12.8,4.1,3,31.6,NA,1967-04-15,"Apr","hurn"
"125",1967,"5",14.8,7.3,2,124.5,NA,1967-05-15,"May","hurn"
"126",1967,"6",19.4,9.3,0,38.3,NA,1967-06-15,"Jun","hurn"
"127",1967,"7",21.5,11.3,0,24.1,NA,1967-07-15,"Jul","hurn"
"128",1967,"8",20.2,11.3,0,61.5,NA,1967-08-15,"Aug","hurn"
"129",1967,"9",17.9,10.5,0,108.8,NA,1967-09-15,"Sep","hurn"
"130",1967,"10",14.8,8.8,1,174,NA,1967-10-15,"Oct","hurn"
"131",1967,"11",9.9,1.3,8,49.7,NA,1967-11-15,"Nov","hurn"
"132",1967,"12",8,0.7,15,49.1,NA,1967-12-15,"Dec","hurn"
"133",1968,"1",8.1,1.7,11,73.4,NA,1968-01-15,"Jan","hurn"
"134",1968,"2",6.4,-1.6,20,58.4,NA,1968-02-15,"Feb","hurn"
"135",1968,"3",10.7,2.3,9,26.5,NA,1968-03-15,"Mar","hurn"
"136",1968,"4",12.7,2.8,10,65.6,NA,1968-04-15,"Apr","hurn"
"137",1968,"5",15,5.6,0,65,NA,1968-05-15,"May","hurn"
"138",1968,"6",19.3,10.6,0,86.3,NA,1968-06-15,"Jun","hurn"
"139",1968,"7",20,10.7,0,43.7,NA,1968-07-15,"Jul","hurn"
"140",1968,"8",19.9,12.1,0,44.6,NA,1968-08-15,"Aug","hurn"
"141",1968,"9",18.2,10.3,0,138.5,NA,1968-09-15,"Sep","hurn"
"142",1968,"10",16.1,10.5,0,104.7,NA,1968-10-15,"Oct","hurn"
"143",1968,"11",10.4,4.5,5,40.6,NA,1968-11-15,"Nov","hurn"
"144",1968,"12",6.9,1.2,12,111,40.4,1968-12-15,"Dec","hurn"
"145",1969,"1",9.5,3.4,8,127.4,33.4,1969-01-15,"Jan","hurn"
"146",1969,"2",5.7,-1.5,18,43.1,84.6,1969-02-15,"Feb","hurn"
"147",1969,"3",8.9,1.1,11,79,73.8,1969-03-15,"Mar","hurn"
"148",1969,"4",13.3,2.9,9,25.2,201.3,1969-04-15,"Apr","hurn"
"149",1969,"5",15.5,7.3,0,95.7,170.3,1969-05-15,"May","hurn"
"150",1969,"6",19.8,9,0,32.9,257.8,1969-06-15,"Jun","hurn"
"151",1969,"7",22.2,11.5,0,51.7,248.1,1969-07-15,"Jul","hurn"
"152",1969,"8",21,12.4,0,62.8,170.1,1969-08-15,"Aug","hurn"
"153",1969,"9",18.7,10,0,46.2,99.3,1969-09-15,"Sep","hurn"
"154",1969,"10",17.4,7.9,2,2.7,133.5,1969-10-15,"Oct","hurn"
"155",1969,"11",10.3,2.3,10,146.6,94.2,1969-11-15,"Nov","hurn"
"156",1969,"12",7.1,0.4,15,102.9,54.5,1969-12-15,"Dec","hurn"
"157",1970,"1",7.9,1.6,10,154.9,37.2,1970-01-15,"Jan","hurn"
"158",1970,"2",7.9,0.3,14,64.8,109.7,1970-02-15,"Feb","hurn"
"159",1970,"3",8.6,0.1,16,50.9,125.6,1970-03-15,"Mar","hurn"
"160",1970,"4",11.1,3,8,48.3,149.5,1970-04-15,"Apr","hurn"
"161",1970,"5",17.8,6.7,0,34.9,235,1970-05-15,"May","hurn"
"162",1970,"6",21.6,10.9,0,24.7,262.9,1970-06-15,"Jun","hurn"
"163",1970,"7",20.3,11.1,0,46.2,189.8,1970-07-15,"Jul","hurn"
"164",1970,"8",20.9,10.8,0,48.6,175.9,1970-08-15,"Aug","hurn"
"165",1970,"9",19.4,10.2,0,77.9,188.6,1970-09-15,"Sep","hurn"
"166",1970,"10",15.3,7,2,21.2,116.1,1970-10-15,"Oct","hurn"
"167",1970,"11",12.4,5.1,5,217.3,63.7,1970-11-15,"Nov","hurn"
"168",1970,"12",7.2,0.9,16,32,65.2,1970-12-15,"Dec","hurn"
"169",1971,"1",8.2,2.8,5,128.4,53.1,1971-01-15,"Jan","hurn"
"170",1971,"2",8.7,0,14,22.5,85.9,1971-02-15,"Feb","hurn"
"171",1971,"3",9.1,1,12,65.7,121.1,1971-03-15,"Mar","hurn"
"172",1971,"4",12.6,3.4,4,55.3,168,1971-04-15,"Apr","hurn"
"173",1971,"5",16.8,6,2,27.5,240,1971-05-15,"May","hurn"
"174",1971,"6",17.4,8.8,0,131.2,180.3,1971-06-15,"Jun","hurn"
"175",1971,"7",22.9,11.7,0,11.7,279.7,1971-07-15,"Jul","hurn"
"176",1971,"8",20.2,12.6,0,53,160.2,1971-08-15,"Aug","hurn"
"177",1971,"9",20.2,7.8,0,8.6,204.4,1971-09-15,"Sep","hurn"
"178",1971,"10",16.7,7,3,44.4,139.1,1971-10-15,"Oct","hurn"
"179",1971,"11",10.8,0.1,15,57.6,107,1971-11-15,"Nov","hurn"
"180",1971,"12",9.4,3.9,8,32.1,37.2,1971-12-15,"Dec","hurn"
"181",1972,"1",7.5,1.7,10,107,43.6,1972-01-15,"Jan","hurn"
"182",1972,"2",8.3,2.6,3,108.4,40.1,1972-02-15,"Feb","hurn"
"183",1972,"3",12.1,2.4,4,100.6,166.6,1972-03-15,"Mar","hurn"
"184",1972,"4",13.2,5,2,61.1,175.5,1972-04-15,"Apr","hurn"
"185",1972,"5",14.4,6.8,0,79.4,168.2,1972-05-15,"May","hurn"
"186",1972,"6",15.5,7.8,0,56.7,156.7,1972-06-15,"Jun","hurn"
"187",1972,"7",20.6,11.1,0,32.6,198.4,1972-07-15,"Jul","hurn"
"188",1972,"8",21,10.4,0,25.4,207.8,1972-08-15,"Aug","hurn"
"189",1972,"9",17.3,7.1,0,29.6,150.6,1972-09-15,"Sep","hurn"
"190",1972,"10",15,6.5,1,26.4,105.6,1972-10-15,"Oct","hurn"
"191",1972,"11",10.4,2,12,95.6,78.2,1972-11-15,"Nov","hurn"
"192",1972,"12",10.1,2.9,10,125.8,58.6,1972-12-15,"Dec","hurn"
"193",1973,"1",7.8,1.3,13,46.7,27,1973-01-15,"Jan","hurn"
"194",1973,"2",8.4,0.1,14,15.9,88.1,1973-02-15,"Feb","hurn"
"195",1973,"3",11,0,18,14.9,143.8,1973-03-15,"Mar","hurn"
"196",1973,"4",12.3,2.6,6,40.2,180.9,1973-04-15,"Apr","hurn"
"197",1973,"5",15.9,7.3,1,77.3,176.6,1973-05-15,"May","hurn"
"198",1973,"6",20.1,9.5,0,51.6,237.5,1973-06-15,"Jun","hurn"
"199",1973,"7",20.9,11,0,27.9,193.4,1973-07-15,"Jul","hurn"
"200",1973,"8",22.9,12,0,37,218.7,1973-08-15,"Aug","hurn"
"201",1973,"9",19.8,10.3,0,52.4,161.9,1973-09-15,"Sep","hurn"
"202",1973,"10",14.3,4.7,7,63.9,125.8,1973-10-15,"Oct","hurn"
"203",1973,"11",11.1,2.5,12,31.4,81.8,1973-11-15,"Nov","hurn"
"204",1973,"12",9.4,1.8,13,49.9,53.1,1973-12-15,"Dec","hurn"
"205",1974,"1",10,3.9,3,121.1,43.5,1974-01-15,"Jan","hurn"
"206",1974,"2",9.5,2,10,120.9,80.4,1974-02-15,"Feb","hurn"
"207",1974,"3",10.3,2.2,10,35.9,104.5,1974-03-15,"Mar","hurn"
"208",1974,"4",14.2,2.9,7,10.4,191.8,1974-04-15,"Apr","hurn"
"209",1974,"5",15.9,5.9,1,41.8,237.6,1974-05-15,"May","hurn"
"210",1974,"6",19.2,9.5,0,59.7,217.7,1974-06-15,"Jun","hurn"
"211",1974,"7",19.7,11.7,0,39,190.8,1974-07-15,"Jul","hurn"
"212",1974,"8",20.1,10.2,0,83.9,209.6,1974-08-15,"Aug","hurn"
"213",1974,"9",16.6,8.7,1,176,159.5,1974-09-15,"Sep","hurn"
"214",1974,"10",11.9,4.1,2,49.1,127.1,1974-10-15,"Oct","hurn"
"215",1974,"11",11.2,4.8,0,150.6,64.2,1974-11-15,"Nov","hurn"
"216",1974,"12",11.1,5.8,1,45.4,48.5,1974-12-15,"Dec","hurn"
"217",1975,"1",10.5,3.8,6,115.4,49.5,1975-01-15,"Jan","hurn"
"218",1975,"2",9.5,0.8,13,24.3,90.8,1975-02-15,"Feb","hurn"
"219",1975,"3",8.9,1.8,10,80.8,91.2,1975-03-15,"Mar","hurn"
"220",1975,"4",12.6,3.7,9,37.9,159.2,1975-04-15,"Apr","hurn"
"221",1975,"5",15.2,6,0,32.2,199.5,1975-05-15,"May","hurn"
"222",1975,"6",21.7,8.7,0,9.4,320.1,1975-06-15,"Jun","hurn"
"223",1975,"7",22.6,12.3,0,15.6,258,1975-07-15,"Jul","hurn"
"224",1975,"8",23.6,12.5,0,46,248.2,1975-08-15,"Aug","hurn"
"225",1975,"9",18.4,8.6,0,143.8,156,1975-09-15,"Sep","hurn"
"226",1975,"10",14.7,5.8,2,14.8,137.7,1975-10-15,"Oct","hurn"
"227",1975,"11",11.1,2.2,7,67.3,93.7,1975-11-15,"Nov","hurn"
"228",1975,"12",7.8,0.6,15,25.1,57.1,1975-12-15,"Dec","hurn"
"229",1976,"1",9.1,2.8,11,9.6,60,1976-01-15,"Jan","hurn"
"230",1976,"2",7.5,2.1,11,34.4,35.2,1976-02-15,"Feb","hurn"
"231",1976,"3",9.6,0.7,13,37.4,136,1976-03-15,"Mar","hurn"
"232",1976,"4",13.8,2.3,8,7,206.2,1976-04-15,"Apr","hurn"
"233",1976,"5",17.4,7.1,2,17,235.3,1976-05-15,"May","hurn"
"234",1976,"6",23.4,11,0,6,256.5,1976-06-15,"Jun","hurn"
"235",1976,"7",24.9,13,0,10,302.7,1976-07-15,"Jul","hurn"
"236",1976,"8",24.6,10.2,0,13.6,308.4,1976-08-15,"Aug","hurn"
"237",1976,"9",18.1,9.1,0,118.2,139.2,1976-09-15,"Sep","hurn"
"238",1976,"10",14.6,7.8,1,175.4,66.1,1976-10-15,"Oct","hurn"
"239",1976,"11",10.5,2.5,9,128.4,69.1,1976-11-15,"Nov","hurn"
"240",1976,"12",6.1,-1,20,125.8,53.6,1976-12-15,"Dec","hurn"
"241",1977,"1",6.8,0.3,14,96.6,43,1977-01-15,"Jan","hurn"
"242",1977,"2",9.6,3.5,7,131.1,85.3,1977-02-15,"Feb","hurn"
"243",1977,"3",10.9,4.3,5,85.3,114.7,1977-03-15,"Mar","hurn"
"244",1977,"4",11.8,3,9,17.2,181.2,1977-04-15,"Apr","hurn"
"245",1977,"5",16.4,5.9,3,52.4,238.2,1977-05-15,"May","hurn"
"246",1977,"6",16.5,8.5,0,93.2,156.2,1977-06-15,"Jun","hurn"
"247",1977,"7",21.2,11.6,0,25.7,222.2,1977-07-15,"Jul","hurn"
"248",1977,"8",20.1,10.9,0,114.5,174.5,1977-08-15,"Aug","hurn"
"249",1977,"9",17.1,9.2,0,31.4,141.6,1977-09-15,"Sep","hurn"
"250",1977,"10",16,8.6,0,55.2,122.1,1977-10-15,"Oct","hurn"
"251",1977,"11",10.4,3.9,9,84.7,108.1,1977-11-15,"Nov","hurn"
"252",1977,"12",9.9,4,2,119,44.9,1977-12-15,"Dec","hurn"
"253",1978,"1",7.6,0.5,14,100.2,85.8,1978-01-15,"Jan","hurn"
"254",1978,"2",6.1,0.1,15,124.1,72.5,1978-02-15,"Feb","hurn"
"255",1978,"3",10.6,2.9,8,67.1,133,1978-03-15,"Mar","hurn"
"256",1978,"4",10.7,3,7,58.1,129.1,1978-04-15,"Apr","hurn"
"257",1978,"5",16.6,6,0,38.6,213.8,1978-05-15,"May","hurn"
"258",1978,"6",18.7,9,0,28.8,199.1,1978-06-15,"Jun","hurn"
"259",1978,"7",19.1,11.4,0,86.5,142.2,1978-07-15,"Jul","hurn"
"260",1978,"8",19.8,10.7,0,44.7,205.2,1978-08-15,"Aug","hurn"
"261",1978,"9",18.9,8.7,0,19.7,179.5,1978-09-15,"Sep","hurn"
"262",1978,"10",16.4,7.3,0,2.3,108.7,1978-10-15,"Oct","hurn"
"263",1978,"11",12.5,5,6,18.7,71.5,1978-11-15,"Nov","hurn"
"264",1978,"12",8.6,3.1,10,208.2,28.3,1978-12-15,"Dec","hurn"
"265",1979,"1",4.8,-3.9,24,97.7,78.9,1979-01-15,"Jan","hurn"
"266",1979,"2",5.3,-1.5,17,67.3,60.4,1979-02-15,"Feb","hurn"
"267",1979,"3",8.7,1.8,7,93.9,110.7,1979-03-15,"Mar","hurn"
"268",1979,"4",12.2,4.3,4,56.1,142.7,1979-04-15,"Apr","hurn"
"269",1979,"5",14.2,5.2,6,113.7,227.8,1979-05-15,"May","hurn"
"270",1979,"6",18.1,9.6,0,35.4,171.4,1979-06-15,"Jun","hurn"
"271",1979,"7",22.1,11.5,0,32.4,220.6,1979-07-15,"Jul","hurn"
"272",1979,"8",19.2,10.7,0,48.3,203.1,1979-08-15,"Aug","hurn"
"273",1979,"9",18,7.9,0,11.2,172.8,1979-09-15,"Sep","hurn"
"274",1979,"10",15.8,7.8,1,62.8,111.9,1979-10-15,"Oct","hurn"
"275",1979,"11",11.3,2.2,14,37.8,77.8,1979-11-15,"Nov","hurn"
"276",1979,"12",9.6,3.1,8,147.8,64.5,1979-12-15,"Dec","hurn"
"277",1980,"1",6.2,-2.3,24,54.2,88.9,1980-01-15,"Jan","hurn"
"278",1980,"2",9.9,3.1,5,76.9,65.4,1980-02-15,"Feb","hurn"
"279",1980,"3",8.8,1.7,7,94.6,85.2,1980-03-15,"Mar","hurn"
"280",1980,"4",14.1,4,5,30.7,196.2,1980-04-15,"Apr","hurn"
"281",1980,"5",17,5.4,2,32.4,225.9,1980-05-15,"May","hurn"
"282",1980,"6",18.7,9.4,0,109,196.7,1980-06-15,"Jun","hurn"
"283",1980,"7",19.1,10.3,0,38.6,161.7,1980-07-15,"Jul","hurn"
"284",1980,"8",20.8,11.9,0,72.4,190.5,1980-08-15,"Aug","hurn"
"285",1980,"9",18.9,11.3,0,60.6,140.6,1980-09-15,"Sep","hurn"
"286",1980,"10",13.7,4.8,5,114.5,132.2,1980-10-15,"Oct","hurn"
"287",1980,"11",9.4,3.6,9,47.5,78.8,1980-11-15,"Nov","hurn"
"288",1980,"12",9.4,2.2,11,56.4,86.3,1980-12-15,"Dec","hurn"
"289",1981,"1",8.6,1.7,11,29.3,62.5,1981-01-15,"Jan","hurn"
"290",1981,"2",7.3,-0.8,18,54.5,80.8,1981-02-15,"Feb","hurn"
"291",1981,"3",11.4,5.9,3,120.8,84.5,1981-03-15,"Mar","hurn"
"292",1981,"4",13.2,3.9,3,47,149.8,1981-04-15,"Apr","hurn"
"293",1981,"5",14.8,8,1,103,141.6,1981-05-15,"May","hurn"
"294",1981,"6",17.7,9.4,0,67.9,175.1,1981-06-15,"Jun","hurn"
"295",1981,"7",21.4,11.1,0,41.6,178.4,1981-07-15,"Jul","hurn"
"296",1981,"8",22.5,10.8,0,7,224.5,1981-08-15,"Aug","hurn"
"297",1981,"9",19.8,9.3,0,149.8,166.7,1981-09-15,"Sep","hurn"
"298",1981,"10",12.7,5.1,4,88.7,101.1,1981-10-15,"Oct","hurn"
"299",1981,"11",11.5,3.8,9,36.3,52.9,1981-11-15,"Nov","hurn"
"300",1981,"12",6,-1.6,18,119.7,52.7,1981-12-15,"Dec","hurn"
"301",1982,"1",7.2,0.9,13,47.7,58.8,1982-01-15,"Jan","hurn"
"302",1982,"2",8.5,2.2,10,48.2,49.7,1982-02-15,"Feb","hurn"
"303",1982,"3",10.5,1.4,8,101.1,161.8,1982-03-15,"Mar","hurn"
"304",1982,"4",14.2,2.5,6,17.9,200.2,1982-04-15,"Apr","hurn"
"305",1982,"5",17.2,6,6,34.6,220.3,1982-05-15,"May","hurn"
"306",1982,"6",20.5,10.9,0,90.4,232.1,1982-06-15,"Jun","hurn"
"307",1982,"7",22,11.7,0,88.5,193.4,1982-07-15,"Jul","hurn"
"308",1982,"8",20.3,11.8,0,79.6,181.9,1982-08-15,"Aug","hurn"
"309",1982,"9",19.7,9.3,0,66.7,150.6,1982-09-15,"Sep","hurn"
"310",1982,"10",14.3,6.6,2,183.8,78.6,1982-10-15,"Oct","hurn"
"311",1982,"11",11.8,5.8,4,121.1,67.2,1982-11-15,"Nov","hurn"
"312",1982,"12",8.9,1.3,13,99,61.5,1982-12-15,"Dec","hurn"
"313",1983,"1",10.1,4,6,77.1,52.8,1983-01-15,"Jan","hurn"
"314",1983,"2",5.9,-0.9,18,18.9,97.5,1983-02-15,"Feb","hurn"
"315",1983,"3",10.4,2.3,8,44.6,94.7,1983-03-15,"Mar","hurn"
"316",1983,"4",11.4,2.7,5,85.8,161.3,1983-04-15,"Apr","hurn"
"317",1983,"5",14.4,6.9,0,97.3,163,1983-05-15,"May","hurn"
"318",1983,"6",19.5,10.6,0,93.9,192.9,1983-06-15,"Jun","hurn"
"319",1983,"7",25.8,13.5,0,9,273.8,1983-07-15,"Jul","hurn"
"320",1983,"8",23.9,11.5,0,14,254.1,1983-08-15,"Aug","hurn"
"321",1983,"9",18.4,10,0,65.7,111.7,1983-09-15,"Sep","hurn"
"322",1983,"10",14.6,6.7,4,79.9,112.9,1983-10-15,"Oct","hurn"
"323",1983,"11",11.2,4.1,6,46.4,52.4,1983-11-15,"Nov","hurn"
"324",1983,"12",9.9,2.2,11,116.7,71,1983-12-15,"Dec","hurn"
"325",1984,"1",8.6,1,10,153.8,83.3,1984-01-15,"Jan","hurn"
